Auction No,Issue date,Amount offered in Auction,Total bids (Competitive & Uncompetitive), Over/(Under) Subscribed ,   Face Value ,   Cost Value ,   Interest due , Date due,Duration,Implicit annual,Clearing ,Lowest Factor ,Weighted Average Price,Average Discount Factor,Money Market yield,Annualised , Rejected Amount ,Bid-to-cover
,-1, (1a) , (1b) ,,-2,-3,-4,-5,-6,-9,-10,-11,-12,-13,,,,
557,16-Apr-03,"12,000,000,000","9,935,400,000","-2,064,600,000","9,935,400,000","9,231,701,708","703,698,292",16-Oct-03,182,,,,92.917,14.204,,15.287,"1,211",
558,30-Apr-03,"11,000,000,000","9,075,300,000","-1,924,700,000","9,075,300,000","8,351,280,222","724,019,778",30-Oct-03,182,,,,92.022,16,,17.387,"1,053",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
559,14-May-03,"10,000,000,000","9,686,800,000","-313,200,000","9,686,800,000","8,881,246,232","805,553,768",13-Nov-03,182,,,,91.684,16.678,,18.19,"1,002",
560,28-May-03,"9,000,000,000","14,957,200,000","5,957,200,000","9,000,000,000","8,205,595,450","794,404,550",27-Nov-03,182,,,,91.173,17.702,,19.416,932,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
561,11-Jun-03,"12,000,000,000","12,000,000,000", -   ,"12,000,000,000","10,914,383,162","1,085,616,838",11-Dec-03,182,,,,90.953,18.143,,19.948,905,
562,25-Jun-03,"14,000,000,000","19,585,300,000","5,585,300,000","13,999,900,000","12,692,397,575","1,307,502,425",25-Dec-03,182,,,,90.661,18.73,,20.66,870,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
563,09-Jul-03,"15,000,000,000","17,508,200,000","2,508,200,000","14,999,900,000","13,498,293,865","1,501,606,135",08-Jan-04,182,,,,89.989,20.077,,22.31,798,
564,23-Jul-03,"13,000,000,000","14,540,500,000","1,540,500,000","12,999,800,000","11,718,041,624","1,281,758,376",22-Jan-04,182,,,,90.14,19.774,,21.937,814,
,,,,,,,,,,,,,,,,,,
565,06-Aug-03,"10,000,000,000","21,103,400,000","11,103,400,000","10,000,000,000","9,091,278,848","908,721,152",05-Feb-04,182,,,,90.913,18.224,,20.046,900,
566,20-Aug-03,"15,000,000,000","25,287,100,000","10,287,100,000","15,000,000,000","13,707,595,873","1,292,404,127",19-Feb-04,182,,,,91.384,17.279,,18.909,960,
,,,,,,,,,,,,,,,,,,
567,03-Sep-03,"10,000,000,000","14,814,400,000","4,814,400,000","9,999,900,000","9,646,978,859","352,921,141",04-Mar-04,182,,,,96.471,7.078,,7.337,"2,633",
568,17-Sep-03,"17,000,000,000","16,754,000,000","-246,000,000","16,754,000,000","15,399,852,700","1,354,147,300",18-Mar-04,182,,,,91.917,16.209,,17.635,"1,037",
